fips,stateabbr,naics,month_code,yoy_growth,year,month_number,date
0,USA,441,yy201901,-0.1,2019,1,2019-01-01
0,USA,442,yy201901,-0.4,2019,1,2019-01-01
0,USA,443,yy201901,-0.7,2019,1,2019-01-01
0,USA,444,yy201901,13.3,2019,1,2019-01-01
0,USA,445,yy201901,4.6,2019,1,2019-01-01
0,USA,446,yy201901,4.3,2019,1,2019-01-01
0,USA,447,yy201901,-6.1,2019,1,2019-01-01
0,USA,448,yy201901,2.6,2019,1,2019-01-01
0,USA,451,yy201901,-6.0,2019,1,2019-01-01
0,USA,452,yy201901,1.2,2019,1,2019-01-01
0,USA,453,yy201901,-2.4,2019,1,2019-01-01
0,USA,TOTAL,yy201901,1.5,2019,1,2019-01-01
1,AL,441,yy201901,0.2,2019,1,2019-01-01
1,AL,442,yy201901,1.3,2019,1,2019-01-01
1,AL,443,yy201901,-1.8,2019,1,2019-01-01
1,AL,444,yy201901,13.8,2019,1,2019-01-01
1,AL,445,yy201901,4.7,2019,1,2019-01-01
1,AL,446,yy201901,9.0,2019,1,2019-01-01
1,AL,447,yy201901,-2.3,2019,1,2019-01-01
1,AL,448,yy201901,3.0,2019,1,2019-01-01
1,AL,451,yy201901,-4.4,2019,1,2019-01-01
1,AL,452,yy201901,5.2,2019,1,2019-01-01
1,AL,453,yy201901,0.7,2019,1,2019-01-01
1,AL,TOTAL,yy201901,3.3,2019,1,2019-01-01
2,AK,441,yy201901,-1.7,2019,1,2019-01-01
2,AK,442,yy201901,-2.7,2019,1,2019-01-01
2,AK,443,yy201901,-11.6,2019,1,2019-01-01
2,AK,444,yy201901,10.2,2019,1,2019-01-01
2,AK,445,yy201901,3.4,2019,1,2019-01-01
2,AK,446,yy201901,13.4,2019,1,2019-01-01
2,AK,447,yy201901,-6.8,2019,1,2019-01-01
2,AK,448,yy201901,3.9,2019,1,2019-01-01
2,AK,451,yy201901,-3.0,2019,1,2019-01-01
2,AK,452,yy201901,2.6,2019,1,2019-01-01
2,AK,453,yy201901,-2.4,2019,1,2019-01-01
2,AK,TOTAL,yy201901,0.4,2019,1,2019-01-01
4,AZ,441,yy201901,0.8,2019,1,2019-01-01
4,AZ,442,yy201901,0.8,2019,1,2019-01-01
4,AZ,443,yy201901,-1.2,2019,1,2019-01-01
4,AZ,444,yy201901,12.4,2019,1,2019-01-01
4,AZ,445,yy201901,3.7,2019,1,2019-01-01
4,AZ,446,yy201901,14.6,2019,1,2019-01-01
4,AZ,447,yy201901,-8.4,2019,1,2019-01-01
4,AZ,448,yy201901,0.3,2019,1,2019-01-01
4,AZ,451,yy201901,-4.2,2019,1,2019-01-01
4,AZ,452,yy201901,-0.1,2019,1,2019-01-01
4,AZ,453,yy201901,9.8,2019,1,2019-01-01
4,AZ,TOTAL,yy201901,1.8,2019,1,2019-01-01
5,AR,441,yy201901,-3.1,2019,1,2019-01-01
5,AR,442,yy201901,2.8,2019,1,2019-01-01
5,AR,443,yy201901,2.0,2019,1,2019-01-01
5,AR,444,yy201901,11.4,2019,1,2019-01-01
5,AR,445,yy201901,5.9,2019,1,2019-01-01
5,AR,446,yy201901,3.9,2019,1,2019-01-01
